account_number,fs_line_code,entity_code,effective_from
1010,BS_CASH,,
1020,BS_AR,,
1030,BS_INV,,
1040,BS_PREPAID,,
1500,BS_PPE_NET,,
1510,BS_PPE_NET,,
1700,BS_GOODWILL,,
2010,BS_AP,,
2020,BS_ACCRUED,,
2030,BS_ST_DEBT,,
2500,BS_LT_DEBT,,
2600,BS_DTL,,
3010,BS_CS,,
3020,BS_APIC,,
3030,BS_RE,,
4010,IS_REV_PRODUCT,,
4020,IS_REV_SERVICE,,
5010,IS_COGS,,
5020,IS_COS,,
6010,IS_SALARIES,,
6020,IS_RENT,,
6030,IS_MARKETING,,
6040,IS_PROF_FEES,,
6050,IS_DEPR,,
6060,IS_OTHER_GA,,
7010,IS_INTEREST,,
8010,IS_TAX,,
